nodes,volume,replicate,avg_block_time,std_block_time,throughput_tx_s,peak_mempool,final_mempool,total_cpu_seconds,peak_memory_percent
3,medium,1,117.75,74.94,0.05,16,25,97.95,76.4%
3,medium,1,60.11,2.69,0.06,25,7,371.06,88.1%
10,high,1,59.78,17.50,0.07,1100,6708,4586.00,93.1%
3,high,1,66.10,17.97,0.31,443,877,651.82,93.0%
3,high,1,30.05,0.22,0.86,432,1221,1612.27,96.1%
3,high,2,30.08,0.28,0.86,237,658,657.89,87.6%
3,high,3,31.28,5.88,0.89,471,1364,1795.60,96.0%
3,high,1,15.03,0.51,1.04,1294,3825,7180.59,97.8%
3,high,2,20.04,0.46,0.96,2423,7192,8377.67,95.0%
